#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A963CD
#Date Time: 2022-02-24 14:41:31.894
#Sample rate: 363636Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 100 ns
#Channel 1: Range: 500 mV/div Offset: 0 V Attenuation: 1 X Sample Mode: Average
#Channel 2: Range: 500 mV/div Offset: 0 V Attenuation: 1 X Sample Mode: Average
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Square
#Frequency: 200 Hz
#Period: 5 ms
#Amplitude: 1 V
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 ?

Time (s),Channel 1 (V),Channel 2 (V)
-0.022261874698633805,-1.0016828001400824,-1.3019876694452843
-0.02225912469863381,-1.0016828001400824,-1.2243093011885267
-0.022256374698633806,-1.002686927858465,-1.1459554688597937
-0.022253624698633807,-1.0020175093795431,-1.0669261724593324
-0.022250874698633807,-1.002352218619004,-0.9892478042025042
-0.022248124698633805,-1.0026869278584651,-0.9135958281609688
-0.022245374698633805,-1.003356346337387,-0.8409834404425981
-0.022242624698633806,-1.0040257648163085,-0.7724238371550497
-0.022239874698633807,-1.0036910555768477,-0.7092679464418606
-0.022237124698633808,-1.003356346337387,-0.6518535003389876
-0.022234374698633805,-1.0036910555768477,-0.601193694954031
-0.022231624698633805,-1.0036910555768475,-0.5583017263948095
-0.022228874698633806,-1.0033563463373867,-0.5221643985535893
-0.022226124698633807,-1.0033563463373867,-0.4954835677175483
-0.022223374698633808,-1.0033563463373867,-0.476570573707178
-0.022220624698633805,-1.003356346337387,-0.46542541652248803
-0.022217874698633806,-1.0036910555768477,-0.4633990243070925
-0.022215124698633806,-1.0040257648163085,-0.46947820095328185
-0.022212374698633807,-1.003356346337387,-0.4836629464610505
-0.022209624698633808,-1.0030216370979261,-0.5052777967586091
-0.022206874698633805,-1.0030216370979257,-0.5333095557382858
-0.022204124698633806,-1.002686927858465,-0.568433687471808
-0.022201374698633806,-1.003021637097926,-0.6089615317797369
-0.022198624698633804,-1.0023522186190041,-0.654555356626202
-0.022195874698633808,-1.0023522186190041,-0.704201965903347
-0.022193124698633805,-1.002352218619004,-0.7568881635037022
-0.022190374698633806,-1.0020175093795431,-0.8122762173911797
-0.022187624698633807,-1.0020175093795431,-0.8683397353504813
-0.022184874698633804,-1.0016828001400824,-0.9260919134893318
-0.022182124698633808,-1.0016828001400824,-0.9831686275562537
-0.022179374698633805,-1.0013480909006212,-1.0388944134797062
-0.022176624698633806,-1.0010133816611606,-1.0925938071876875
-0.022173874698633807,-1.0006786724216996,-1.1435913446084978
-0.022171124698633804,-1.0010133816611606,-1.1912115616703538
-0.022168374698633808,-1.0010133816611606,-1.2347789943012981
-0.022165624698633805,-1.0010133816611606,-1.2736181784297846
-0.022162874698633806,-1.0010133816611606,-1.3070536499838108
-0.022160124698633807,-1.0010133816611606,-1.3354231409993609
-0.022157374698633804,-1.0006786724216994,-1.3580511874046362
-0.02215462469863381,-1.000343963182239,-1.374600057163677
-0.022151874698633806,-1.0000092539427783,-1.3847320182406766
-0.022149124698633806,-1.0010133816611606,-1.389460266743266
-0.022146374698633807,-1.0006786724216998,-1.3877716065637695
-0.022143624698633804,-1.0016828001400817,-1.3800037697380714
-0.02214087469863381,-1.0010133816611613,-1.367507684409816
-0.022138124698633806,-1.0016828001400824,-1.349607886507136
-0.022135374698633806,-1.0016828001400824,-1.3269798401018758
-0.022132624698633807,-1.0013480909006216,-1.2996235451940361
-0.022129874698633804,-1.0020175093795425,-1.269227661963046
-0.02212712469863381,-1.001348090900622,-1.2351167263372682
-0.022124374698633806,-1.0020175093795431,-1.197628470352403
-0.022121624698633807,-1.0020175093795431,-1.158789286223971
-0.022118874698633807,-1.002352218619004,-1.1185991739519598
